winner,weekID,AwayTeam,HomeTeam,Location,Points,rank,EWETL,EWETW
The Chief,3,The Chief,Team Ward,homepoints,121.32,6.5,5.5,3.5
Compute This!,3,Compute This!,Dallas The boys,homepoints,111.1,9,8,1
Philly Chapmaniacs,3,The OBJective Functions,Philly Chapmaniacs,homepoints,124.64,5,4,5
The Chief,4,The Chief,Analysis Paralysis,awaypoints,122.1,4,3,6
Compute This!,4,'R'm Chair Quarterback,Compute This!,awaypoints,121.68,5,4,5
Palindrome Tikkit,4,Palindrome Tikkit,The OBJective Functions,awaypoints,135.88,1,0,9
The Plainsmen,4,The Plainsmen,Dallas The boys,awaypoints,126.3,2,1,8
Team Ward,4,Team Ward,Philly Chapmaniacs,awaypoints,104.6,8,7,2
The Chief,4,The Chief,Analysis Paralysis,homepoints,110.18,7,6,3
Compute This!,4,'R'm Chair Quarterback,Compute This!,homepoints,123.8,3,2,7
Palindrome Tikkit,4,Palindrome Tikkit,The OBJective Functions,homepoints,110.24,6,5,4
The Plainsmen,4,The Plainsmen,Dallas The boys,homepoints,102.98,9,8,1
Team Ward,4,Team Ward,Philly Chapmaniacs,homepoints,90.1,10,9,0
Compute This!,5,The OBJective Functions,Compute This!,awaypoints,130.04,6,5,4
Dallas The boys,5,Dallas The boys,Analysis Paralysis,awaypoints,100.22,8,7,2
Philly Chapmaniacs,5,Philly Chapmaniacs,The Chief,awaypoints,172.24,2,1,8
The Plainsmen,5,The Plainsmen,'R'm Chair Quarterback,awaypoints,118.04,7,6,3
Palindrome Tikkit,5,Team Ward,Palindrome Tikkit,awaypoints,145.72,4,3,6
Compute This!,5,The OBJective Functions,Compute This!,homepoints,130.66,5,4,5
Dallas The boys,5,Dallas The boys,Analysis Paralysis,homepoints,81.1,9,8,1
Philly Chapmaniacs,5,Philly Chapmaniacs,The Chief,homepoints,155.02,3,2,7
The Plainsmen,5,The Plainsmen,'R'm Chair Quarterback,homepoints,73.66,10,9,0
Palindrome Tikkit,5,Team Ward,Palindrome Tikkit,homepoints,197.7,1,0,9
Philly Chapmaniacs,6,The Plainsmen,Philly Chapmaniacs,awaypoints,0,5.5,4.5,4.5
Team Ward,6,'R'm Chair Quarterback,Team Ward,awaypoints,0,5.5,4.5,4.5
Palindrome Tikkit,6,Analysis Paralysis,Palindrome Tikkit,awaypoints,0,5.5,4.5,4.5
The Chief,6,Compute This!,The Chief,awaypoints,0,5.5,4.5,4.5
The OBJective Functions,6,Dallas The boys,The OBJective Functions,awaypoints,0,5.5,4.5,4.5
Philly Chapmaniacs,6,The Plainsmen,Philly Chapmaniacs,homepoints,0,5.5,4.5,4.5
Team Ward,6,'R'm Chair Quarterback,Team Ward,homepoints,0,5.5,4.5,4.5
Palindrome Tikkit,6,Analysis Paralysis,Palindrome Tikkit,homepoints,0,5.5,4.5,4.5
The Chief,6,Compute This!,The Chief,homepoints,0,5.5,4.5,4.5
The OBJective Functions,6,Dallas The boys,The OBJective Functions,homepoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,7,Philly Chapmaniacs,'R'm Chair Quarterback,awaypoints,0,5.5,4.5,4.5
Analysis Paralysis,7,Team Ward,Analysis Paralysis,awaypoints,0,5.5,4.5,4.5
Compute This!,7,Palindrome Tikkit,Compute This!,awaypoints,0,5.5,4.5,4.5
Dallas The boys,7,The Chief,Dallas The boys,awaypoints,0,5.5,4.5,4.5
The Plainsmen,7,The OBJective Functions,The Plainsmen,awaypoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,7,Philly Chapmaniacs,'R'm Chair Quarterback,homepoints,0,5.5,4.5,4.5
Analysis Paralysis,7,Team Ward,Analysis Paralysis,homepoints,0,5.5,4.5,4.5
Compute This!,7,Palindrome Tikkit,Compute This!,homepoints,0,5.5,4.5,4.5
Dallas The boys,7,The Chief,Dallas The boys,homepoints,0,5.5,4.5,4.5
The Plainsmen,7,The OBJective Functions,The Plainsmen,homepoints,0,5.5,4.5,4.5
Philly Chapmaniacs,8,Analysis Paralysis,Philly Chapmaniacs,awaypoints,0,5.5,4.5,4.5
Team Ward,8,Compute This!,Team Ward,awaypoints,0,5.5,4.5,4.5
Palindrome Tikkit,8,Dallas The boys,Palindrome Tikkit,awaypoints,0,5.5,4.5,4.5
The Chief,8,The Plainsmen,The Chief,awaypoints,0,5.5,4.5,4.5
The OBJective Functions,8,'R'm Chair Quarterback,The OBJective Functions,awaypoints,0,5.5,4.5,4.5
Philly Chapmaniacs,8,Analysis Paralysis,Philly Chapmaniacs,homepoints,0,5.5,4.5,4.5
Team Ward,8,Compute This!,Team Ward,homepoints,0,5.5,4.5,4.5
Palindrome Tikkit,8,Dallas The boys,Palindrome Tikkit,homepoints,0,5.5,4.5,4.5
The Chief,8,The Plainsmen,The Chief,homepoints,0,5.5,4.5,4.5
The OBJective Functions,8,'R'm Chair Quarterback,The OBJective Functions,homepoints,0,5.5,4.5,4.5
Compute This!,9,Philly Chapmaniacs,Compute This!,awaypoints,0,5.5,4.5,4.5
Dallas The boys,9,Analysis Paralysis,Dallas The boys,awaypoints,0,5.5,4.5,4.5
Team Ward,9,The OBJective Functions,Team Ward,awaypoints,0,5.5,4.5,4.5
The Plainsmen,9,'R'm Chair Quarterback,The Plainsmen,awaypoints,0,5.5,4.5,4.5
Palindrome Tikkit,9,The Chief,Palindrome Tikkit,awaypoints,0,5.5,4.5,4.5
Compute This!,9,Philly Chapmaniacs,Compute This!,homepoints,0,5.5,4.5,4.5
Dallas The boys,9,Analysis Paralysis,Dallas The boys,homepoints,0,5.5,4.5,4.5
Team Ward,9,The OBJective Functions,Team Ward,homepoints,0,5.5,4.5,4.5
The Plainsmen,9,'R'm Chair Quarterback,The Plainsmen,homepoints,0,5.5,4.5,4.5
Palindrome Tikkit,9,The Chief,Palindrome Tikkit,homepoints,0,5.5,4.5,4.5
Dallas The boys,10,Team Ward,Dallas The boys,awaypoints,0,5.5,4.5,4.5
The Plainsmen,10,Compute This!,The Plainsmen,awaypoints,0,5.5,4.5,4.5
Philly Chapmaniacs,10,Palindrome Tikkit,Philly Chapmaniacs,awaypoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,10,Analysis Paralysis,'R'm Chair Quarterback,awaypoints,0,5.5,4.5,4.5
The OBJective Functions,10,The Chief,The OBJective Functions,awaypoints,0,5.5,4.5,4.5
Dallas The boys,10,Team Ward,Dallas The boys,homepoints,0,5.5,4.5,4.5
The Plainsmen,10,Compute This!,The Plainsmen,homepoints,0,5.5,4.5,4.5
Philly Chapmaniacs,10,Palindrome Tikkit,Philly Chapmaniacs,homepoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,10,Analysis Paralysis,'R'm Chair Quarterback,homepoints,0,5.5,4.5,4.5
The OBJective Functions,10,The Chief,The OBJective Functions,homepoints,0,5.5,4.5,4.5
The Plainsmen,11,Palindrome Tikkit,The Plainsmen,awaypoints,0,5.5,4.5,4.5
